2023-02-27 16:40:23 2,15,46,36,25,1,24,1,0,0,52,0,0,1,12,37,22,61,11,85,93,0,3
2023-02-27 16:40:33 3,13,39,31,26,1,20,0,0,0,55,0,0,0,11,39,23,55,10,91,102,0,3
2023-02-27 16:40:43 3,13,44,36,24,2,23,1,0,0,52,0,0,0,12,33,21,59,10,80,91,0,3
2023-02-27 16:40:53 2,15,44,31,26,1,23,0,0,0,52,0,0,0,12,37,20,57,10,85,95,0,2
2023-02-27 16:41:04 2,14,43,36,24,1,22,1,0,0,60,0,0,0,11,34,21,58,10,80,88,0,3
2023-02-27 16:41:15 3,15,40,32,25,1,24,0,1,0,56,0,0,1,12,33,23,64,11,94,88,0,3
2023-02-27 16:41:26 2,15,39,30,24,1,24,1,0,0,61,0,0,0,11,36,22,56,10,82,90,0,2
2023-02-27 16:41:36 3,14,41,34,28,1,22,1,1,0,57,0,0,0,11,35,20,57,10,82,88,0,2
2023-02-27 16:41:41 3,14,41,34,28,1,22,1,1,0,57,0,0,0,11,35,20,57,10,82,88,0,2
2023-02-27 16:41:46 3,14,41,34,28,1,22,1,1,0,57,0,0,0,11,35,20,57,10,82,88,0,2
2023-02-27 16:41:58 2,15,42,35,28,1,21,1,0,0,57,0,0,0,11,35,21,56,10,83,95,0,2
