2023-02-27 16:43:54 3,14,40,33,24,2,25,1,1,0,55,0,0,0,10,33,20,66,11,94,88,0,2
2023-02-27 16:44:04 2,16,42,34,27,2,21,0,1,0,57,0,0,1,11,39,23,65,10,92,85,0,2
2023-02-27 16:44:14 3,13,39,32,28,2,24,0,0,0,53,0,0,1,13,34,21,65,9,81,89,0,3
2023-02-27 16:44:19 3,13,39,32,28,2,24,0,0,0,53,0,0,1,13,34,21,65,9,81,89,0,3
2023-02-27 16:44:25 3,13,39,32,28,2,24,0,0,0,53,0,0,1,13,34,21,65,9,81,89,0,3
2023-02-27 16:44:35 2,14,43,36,28,2,21,0,1,0,59,0,0,0,11,35,21,54,10,85,87,0,2
2023-02-27 16:44:45 2,15,38,30,25,2,25,0,0,0,61,0,0,1,12,39,20,66,11,94,103,0,3
2023-02-27 16:44:56 2,15,45,32,26,2,21,0,0,0,55,0,0,1,12,39,23,61,11,91,102,0,3
2023-02-27 16:45:06 3,14,40,32,27,1,21,1,0,0,60,0,0,0,11,35,19,66,10,84,86,0,2
2023-02-27 16:45:17 3,13,39,32,27,2,23,1,0,0,51,0,0,0,11,34,20,56,11,79,86,0,3
2023-02-27 16:45:28 3,13,41,32,26,1,23,1,0,0,61,0,0,1,12,39,23,55,11,94,102,0,3
2023-02-27 16:45:39 3,16,40,31,26,2,20,1,0,0,53,0,0,0,11,39,23,57,11,90,102,0,2
