2023-03-02 21:55:24 3,13,39,31,26,1,24,1,0,0,51,0,0,2,12,37,23,54,9,78,98,0,3
2023-03-02 21:55:29 3,13,39,31,26,1,24,1,0,0,51,0,0,2,12,37,23,54,9,78,98,0,3
2023-03-02 21:55:35 2,16,46,36,25,2,24,1,0,0,51,0,0,3,12,37,23,64,9,90,102,0,3
2023-03-02 21:55:45 3,15,43,36,28,1,24,1,1,0,57,0,0,4,11,35,21,56,10,84,86,0,2
2023-03-03 10:04:17 2,15,39,32,26,2,21,0,1,0,53,0,0,2,11,37,23,64,10,85,96,0,2
2023-03-03 10:04:26 2,14,44,36,24,1,22,0,1,0,58,0,0,3,11,36,22,62,10,83,95,0,2
2023-03-03 10:04:33 3,16,41,31,25,2,20,1,0,0,57,0,0,2,10,38,22,65,11,91,99,0,3
2023-03-03 10:04:37 2,15,44,35,29,1,23,1,0,0,58,0,0,4,12,36,21,62,11,87,95,0,3
2023-03-03 10:04:43 2,15,38,30,28,1,23,1,0,0,50,0,0,3,12,38,23,60,11,92,95,0,3
2023-03-03 10:04:48 3,14,41,31,28,2,24,0,1,0,54,0,0,5,11,33,19,57,10,80,87,0,2
2023-03-03 10:04:53 3,14,43,37,25,1,23,1,1,0,58,0,0,4,11,33,20,60,10,80,87,0,2
2023-03-03 10:04:58 3,16,39,33,25,1,23,1,0,0,55,0,0,6,12,40,22,65,11,92,85,0,3
2023-03-03 10:05:04 3,16,40,34,28,1,22,0,1,0,59,0,0,5,10,34,23,65,10,80,100,0,2
2023-03-03 10:05:08 2,14,44,31,24,1,23,1,1,0,60,0,0,7,12,38,20,59,10,88,90,0,2
2023-03-03 10:05:14 2,15,46,30,24,1,23,1,0,0,54,0,0,6,12,37,22,65,11,92,100,0,2
2023-03-03 10:05:19 3,15,43,37,29,1,24,1,1,0,61,0,0,8,12,35,21,59,10,83,91,0,3
2023-03-03 10:05:22 3,16,39,33,24,1,23,0,0,0,60,0,0,2,12,33,22,63,11,80,87,0,3
2023-03-03 10:05:25 3,15,40,32,27,2,25,1,0,0,55,0,0,7,12,33,20,66,11,94,101,0,2
2023-03-03 10:05:30 2,15,45,36,24,2,22,1,1,0,58,0,0,9,11,37,22,59,10,85,95,0,2
2023-03-03 10:05:33 3,13,39,33,26,2,25,0,0,0,56,0,0,3,11,36,20,56,10,83,103,0,2
2023-03-03 10:05:35 3,13,41,32,26,2,21,0,0,0,56,0,0,8,12,33,23,64,11,94,101,0,2
2023-03-03 10:05:40 3,13,41,34,27,1,21,0,1,0,56,0,0,10,11,33,20,54,10,81,101,0,2
2023-03-03 10:05:40 3,13,41,32,26,2,21,0,0,0,56,0,0,8,12,33,23,64,11,94,101,0,2
2023-03-03 10:05:43 3,16,39,33,25,2,24,1,0,0,50,0,0,4,12,39,19,54,11,93,101,0,3
2023-03-03 10:05:45 3,13,41,32,26,2,21,0,0,0,56,0,0,8,12,33,23,64,11,94,101,0,2
2023-03-03 10:05:50 2,15,41,36,28,2,20,0,1,0,58,0,0,11,11,34,21,54,9,81,93,0,2
2023-03-03 10:05:53 2,14,43,35,29,1,23,0,0,0,61,0,0,5,11,37,23,60,10,89,97,0,3
2023-03-03 10:05:56 3,15,44,35,25,1,23,1,1,0,59,0,0,10,11,35,20,57,10,80,88,0,2
2023-03-03 10:06:01 3,15,46,31,29,1,23,1,1,0,59,0,0,12,11,36,22,65,11,87,98,0,2
2023-03-03 10:06:04 3,13,40,30,26,1,24,1,0,0,61,0,0,6,11,34,23,65,10,91,103,0,3
2023-03-03 10:06:06 2,15,39,33,27,2,20,0,1,0,54,0,0,11,12,36,22,65,11,87,99,0,2
2023-03-03 10:06:14 2,14,46,36,28,1,23,0,1,0,55,0,0,7,12,37,23,60,10,89,96,0,3
2023-03-03 10:06:16 3,13,43,34,26,2,21,0,1,0,58,0,0,2,12,33,20,59,10,80,91,0,2
2023-03-03 10:06:20 3,16,46,30,27,2,25,1,1,0,53,0,0,2,12,33,19,63,11,93,95,0,3
2023-03-03 10:06:22 3,13,41,33,25,2,24,1,0,0,52,0,0,3,11,35,19,54,10,93,101,0,2
2023-03-03 10:06:23 3,14,41,32,26,2,20,1,1,0,54,0,0,3,13,34,20,55,10,79,90,0,3
